"txNomeParlamentar";"cpf";"ideCadastro";"nuCarteiraParlamentar";"nuLegislatura";"sgUF";"sgPartido";"codLegislatura";"numSubCota";"txtDescricao";"numEspecificacaoSubCota";"txtDescricaoEspecificacao";"txtFornecedor";"txtCNPJCPF";"txtNumero";"indTipoDocumento";"datEmissao";"vlrDocumento";"vlrGlosa";"vlrLiquido";"numMes";"numAno";"numParcela";"txtPassageiro";"txtTrecho";"numLote";"numRessarcimento";"datPagamentoRestituicao";"vlrRestituicao";"nuDeputadoId";"ideDocumento";"urlDocumento"
"JOSEPH BANDEIRA";"";"4929";"565";"2007";"BA";"PSB";"53";"2";"LOCOMOÇÃO, ALIMENTAÇÃO E  HOSPEDAGEM";"0";"";"NACIONAL TRANSPORTES E LOGISTICA";"071.414.740/0010-0";"01029";"0";"2009-06-18T00:00:00";"3800";"0";"3800";"6";"2008";"0";"";"";"405260";"";"";"";"1970";"1612380";""
"JOSEPH BANDEIRA";"";"4929";"565";"2007";"BA";"PSB";"53";"2";"LOCOMOÇÃO, ALIMENTAÇÃO E  HOSPEDAGEM";"0";"";"NTL - NACIONAL TRANSPORTES E LOGISTICA";"071.414.740/0010-0";"00954";"0";"2009-03-30T00:00:00";"6000";"0";"6000";"9";"2008";"0";"";"";"387830";"";"";"";"1970";"1561354";""
"Celso Russomanno";"";"73441";"347";"2007";"SP";"REPUBLICANOS";"53";"3";"COMBUSTÍVEIS E LUBRIFICANTES.";"1";"Veículos Automotores";"LAVACRED";"433.121.720/0010-3";"078191";"0";"2008-11-03T00:00:00";"156.01";"0";"156.01";"11";"2008";"0";"";"";"393481";"";"";"";"993";"1578435";""
"Celso Russomanno";"";"73441";"347";"2007";"SP";"REPUBLICANOS";"53";"3";"COMBUSTÍVEIS E LUBRIFICANTES.";"1";"Veículos Automotores";"POSTO CACONDE";"430.806.540/0018-5";"093488";"0";"2008-11-28T00:00:00";"151";"0";"151";"11";"2008";"0";"";"";"393481";"";"";"";"993";"1578440";""
"Celso Russomanno";"";"73441";"347";"2007";"SP";"REPUBLICANOS";"53";"3";"COMBUSTÍVEIS E LUBRIFICANTES.";"1";"Veículos Automotores";"POSTO CACONDE";"430.806.540/0018-5";"095040";"0";"2008-12-09T00:00:00";"39";"0";"39";"12";"2008";"0";"";"";"393482";"";"";"";"993";"1578436";""
"DR. ROSINHA";"";"73459";"449";"2007";"PR";"PT";"53";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES S/A";"335.304.860/0012-9";"000043067";"0";"2008-12-24T00:00:00";"68.84";"2.92";"65.92";"12";"2008";"0";"";"";"389802";"";"";"";"1436";"1567076";""
"Osmar Serraglio";"";"73463";"593";"2007";"PR";"PP";"53";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"AMERICEL SA";"016.859.030/0011-6";"00051544";"0";"2008-04-16T00:00:00";"379.66";"0";"379.66";"4";"2008";"0";"";"";"395052";"";"";"";"1439";"1578642";""
"Osmar Serraglio";"";"73463";"593";"2007";"PR";"PP";"53";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"BRASIL TELECOM";"765.357.640/0014-3";"000023442";"0";"2008-03-01T00:00:00";"322.77";"0";"322.77";"3";"2008";"0";"";"";"425308";"";"";"";"1439";"1679927";""
"Osmar Serraglio";"";"73463";"593";"2007";"PR";"PP";"53";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"BRASIL TELECOM";"765.357.640/0014-3";"000333582";"0";"2008-03-01T00:00:00";"70.13";"0";"70.13";"3";"2008";"0";"";"";"425308";"";"";"";"1439";"1679928";""
"Osmar Serraglio";"";"73463";"593";"2007";"PR";"PP";"53";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"BRASIL TELECOM";"765.357.640/0014-3";"000384599";"0";"2008-03-01T00:00:00";"1064.6";"0";"1064.6";"3";"2008";"0";"";"";"425308";"";"";"";"1439";"1679937";""
